gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
TMC2	27.3061297576354	-1.08313909257704	0.283613205443954	7.48037159378339e-05	0.000146993603878886
TCP11	44.8507525137382	1.28675246958338	0.328501516099275	7.52856239993757e-05	0.000147901917136503
OR52N2	5.57522634253092	1.3592737801671	0.381175195209306	7.60924986753724e-05	0.00014939595486926
LOC100505718	1.41839290115139	1.4347226163073	0.40881034041355	7.72029518517746e-05	0.000151457483010819
DNAJC5G	3.2671138533057	1.67361382015689	0.382246354240282	7.74314607002356e-05	0.00015186613935041
MIR554	1.24499570361994	1.6844851037237	0.460928890336415	7.75299199219755e-05	0.000152019583006736
PIK3C2G	126.229307186303	1.71027970434571	0.395198001858092	7.96234770947382e-05	0.00015596187196764
SCRT2	1.85966075644876	1.32623970196703	0.365332809019237	8.02267064910448e-05	0.000157034324978696
NCOR1P1	3.027165653348	2.09097485707248	0.334851702551473	8.03307763907823e-05	0.000157210738383106
LOC100124692	6.68040679133489	2.28550384756208	0.359012074693024	8.08856190826518e-05	0.0001582142072975
MIR574	0.932634543386952	1.38295212285525	0.380898087587512	8.1750843474817e-05	0.000159837287255124
RNU4ATAC	5.02211039943119	2.07059000002998	0.356079977375763	8.33214907336266e-05	0.000162837588832136
PIR-FIGF	1.95953884664656	1.26825894479145	0.344491037776855	8.45959493738278e-05	0.00016519945049612
CYP4Z2P	46.9468647209883	-1.09411094395386	0.288998418639848	8.4708433234957e-05	0.000165390465617447
KRTAP5-7	1.76180746257961	1.05011639915866	0.279139373451125	8.57650372462133e-05	0.000167380991340489
COX6A2	3.81152039468653	1.63912562916994	0.417700884019985	8.67154808300253e-05	0.000169074944509589
ALX4	10.1970157606399	1.18846641383445	0.27140292266898	8.7699212072242e-05	0.000170889564628111
FER1L6	66.9396117901319	3.65130068930545	0.363713210183984	8.88280685444842e-05	0.000172984609131836
GGTLC1	881.784678525039	-1.01602345933862	0.268580091057865	8.88994714822037e-05	0.000173093764582557
RFPL4B	1.63818854143737	3.34839705541292	0.516427852049945	8.89727073349333e-05	0.000173221404049908
GSTTP2	1.13750107081935	1.32040800944573	0.375171497671522	8.91923936272319e-05	0.000173574186113886
PMCHL2	1.33638719967755	1.39206947751398	0.306416509886446	8.93063892693345e-05	0.000173766038344501
CES1P1	319.803893856652	-1.02231784307552	0.270228520948488	8.98126351763458e-05	0.000174705834198376
TPH2	1.75760816018207	2.67091166849121	0.542847065586825	9.02361125089411e-05	0.00017548418188937
WFDC11	1.82350391195137	1.65518594378209	0.472831005003004	9.12135358878523e-05	0.000177323831707496
NOL4	27.5106853805574	1.43878404472433	0.313251830820595	9.16094223129365e-05	0.000178032065027493
LOC729739	10.32947715981	1.53801849357984	0.196493195586227	9.27669705946664e-05	0.000180157419383424
GAGE1	1.85283322915794	5.53236539364906	0.679059872687841	9.90031355758125e-05	0.000191838779031633
FEZF2	4.35327072829006	1.03406475186989	0.284954919928554	0.000103642559242816	0.000200673422639714
CLEC2A	2.18489344028492	5.45370259103431	0.801279609533971	0.000104158981061333	0.000201638697048169
ALPP	183.917557385803	-1.17910967463416	0.318107568766573	0.000109124822482143	0.000210799543583589
C17orf102	1.14325458154493	1.45158117588928	0.389864262660592	0.000110026440253035	0.000212432042307037
SNORD97	12.9299156896983	4.64380753495476	0.210439485160896	0.000110991201135873	0.000214221377680167
MIR4785	1.14507209969972	-1.01057241728594	0.27268323770128	0.000112079390867345	0.000216229133668364
SNORA38	2.03684720969656	3.29387683927371	0.586161595158582	0.00011580672498219	0.000223114690736725
MIR3907	1.01027974262431	2.50121956486604	0.656237011233022	0.000117922376802242	0.000226977425680041
SPRR2E	6.92503790343276	2.65992063084682	0.619179355717452	0.000119613623761952	0.000230036400260599
ZNF676	34.5402754933259	1.08879902573567	0.306485105175651	0.000120946835728643	0.000232521065005681
SNORD11	2.3036579643548	1.03845756853034	0.284438558867836	0.000121326772706092	0.00023321173297776
AQP12B	1.32366796377871	3.93322544611243	0.876751849245958	0.000121614609834566	0.000233725163318501
C5orf27	16.7052067697461	1.1249890868113	0.219657496064083	0.000126168521228062	0.000242105711556673
RNASE7	7.85252899547394	2.00391166201367	0.353503218892611	0.000126329356939038	0.000242393714654322
CLCNKA	47.4858252640739	1.11845014307062	0.23420622773939	0.000129304372434202	0.000247804087164939
POPDC3	107.526130899782	1.19134865899182	0.341778036321816	0.00013066002210114	0.000250298518382841
BTG4	7.14688676627245	-1.07568326475974	0.292941505888597	0.000138556592380473	0.000264616337633135
TAS2R13	2.01149427446087	1.45835127400279	0.425306558226954	0.000138872446095691	0.000265197098137347
NLRP4	4.48174754069755	1.02243050739523	0.340450739798884	0.000140779968136453	0.000268589599107036
BANF2	1.17957665355531	3.25975866647835	0.840817045956469	0.000142258256345885	0.000271341109604674
SNORA12	5.45196666992843	4.90956658591066	0.320852043911485	0.000142426632625599	0.000271639292315619
SNORA46	1.37914254287045	2.20407263896667	0.530719531789678	0.000147028605191457	0.00028010831086192
MIR548I1	0.634951658871499	-1.04520538310731	0.285446250652765	0.000149358174946132	0.000284426296504832
SORCS3	4.58987785589077	1.4319671259711	0.337617737780954	0.000150874576739043	0.000287192755975534
TAS1R1	40.285798539632	1.38095394060575	0.27378642575586	0.000156349390775664	0.000297237827632946
UOX	5.07194026530655	1.45067984513235	0.298667646521242	0.000160262461402036	0.000304317848356122
KRTAP5-6	0.7485792260553	1.81338562312883	0.498533725468547	0.000161369817967363	0.000306368981729417
FAM5B	10.6095058251728	1.96999636864096	0.297179491114614	0.000161422969559568	0.000306444093487483
ANKRD63	1.31250703107827	1.34967008174707	0.386577972291462	0.000161814489734733	0.000307109792796497
MAGEB6	1.24417255543291	4.76000403857144	1.14990726891832	0.000163829276407775	0.000310724475380298
OTOR	1.3084174669729	2.8675484401071	0.577895462067913	0.000164358835365973	0.000311597822306689
LOC284865	10.4878390970847	-1.02051750856026	0.281427483854704	0.000164807695375827	0.000312396262790642
LINC00521	1.11970034909902	1.56130555864573	0.455600428035794	0.00016690193191444	0.000316126782009285
DMRTB1	1.00418376467989	2.48382228570974	0.637175561784938	0.000167456172544483	0.000317123290817151
MRGPRX3	1.60614653326034	2.05316810307607	0.525595608494943	0.000167579036627514	0.000317329318581498
GALNTL5	0.969793220977162	2.0286117961119	0.6104768985604	0.000168730789907665	0.000319322595099678
KRT74	1.57770725406004	1.36462297720765	0.393173148862899	0.000169078962690327	0.000319954660370022
KRT9	1.43862957256558	2.23918803062823	0.381004016977394	0.000174130832804404	0.000329092821653229
CCDC169-SOHLH2	1.18807855840092	1.93123328498947	0.526842871405856	0.000174422321692517	0.000329595925631636
DEFB1	280.146850499798	1.50535077497451	0.31930022995557	0.000176756119660389	0.000333782218594994
G6PC	5.06490267616619	5.93727681776122	0.650155564767943	0.000176991578562761	0.000334198868640109
OR2AG2	1.03162037577886	1.47995900791455	0.441997342399521	0.000178105240587594	0.000336132837935461
KIR2DL1	9.75985792412972	1.30672476751731	0.319192991612691	0.00018087264205453	0.00034118435390813
