gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
OR1N1	0.455631451952986	-0.259563540066879	0.430107532692961	-0.603485222501723	0.546185943297596	0.625547953646729
OR1N2	0.214362360560127	-0.0765416172609091	0.586150381190168	-0.130583583525942	0.896104729961408	0.92910610415447
OR1Q1	1.11795632882131	1.70272533982647	0.469304015890823	3.62819256211647	0.000285412357051281	0.000527698127725133
OR1S1	0.0682908161328661	-0.238313810862801	1.44167374114142	-0.165303566307672	0.868705051929689	0.913672003746199
OR1S2	0.0713975474554395	-0.220769002567818	1.15939400176502	-0.19041758214354	0.848981921165989	0.89968944098751
OR2A12	0.143112228296219	-0.253775293863271	0.664244850633142	-0.382050826019017	0.702423665190358	0.77504433279713
OR2A14	0.414920527585367	0.0678897954980861	0.411506506798265	0.164978668323629	0.868960772183023	0.913776375542054
OR2A2	0.314725928379987	-0.0496980322960238	0.483466255194405	-0.10279524529802	0.91812547897731	0.942062411339399
OR2A20P	23.2542186276729	-1.30654290252873	0.10411150188335	-12.5494578302466	4.00241021727833e-36	6.17784755714193e-35
OR2A25	0.327892408038115	0.132755651545675	0.414672362401385	0.320145887651836	0.748857741388278	0.816530844504741
OR2A4	0.545024448111101	0.770302978916222	0.472776979659373	1.62931574940728	0.103246193777407	0.13786741567233
OR2A5	0.192376240760525	-0.21794838124705	0.532063574063383	-0.409628457709617	0.682078518096367	0.755998852923974
OR2A7	18.0438191337819	-0.44841222919088	0.159404391175702	-2.81304815936107	0.00490743007438753	0.0078772478900643
OR2A9P	24.0797734904314	-1.18493186282203	0.127624637930408	-9.28450714561995	1.62457282862681e-20	1.03813380159714e-19
OR2AE1	0.900213150914858	-0.34130043494398	0.319046810577313	-1.06975034267354	0.284731699445173	0.348871749752137
OR2AG1	0.153633090142866	-0.143449558519224	0.714608322595581	-0.200738717956979	0.840902883330992	0.8937317806578
OR2AG2	1.03162037577886	1.37588320830027	0.367077977189394	3.74820417949067	0.000178105240587594	0.000336132837935461
OR2AK2	0.111456486779572	-0.0421665732548691	0.921059230049403	-0.0457805229883071	0.963485182935588	0.972367615143452
OR2AT4	0.195409594471761	0.162044705680524	0.614802899012591	0.26357179828003	0.792109891982128	0.854478362788279
OR2B11	1.0152889139752	-1.59098584734917	0.327803181524518	-4.85347896853825	1.21314212878709e-06	2.83351301359686e-06
OR2B2	0.275221730527295	0.446053731549586	0.564339146430662	0.790400124412405	0.42929412958045	0.505667898467941
